기준년월,기준년도,기준월,시도명,시군구명,행정동_코드_명,행정동_코드,아파트_단지_수,아파트_평균_면적,아파트_평균_시가
2019-10-28,2019,10,서울,강남구,개포1동,11680660,159,61,1065496504
2019-10-28,2019,10,서울,광진구,군자동,11215730,221,53,178474581
2019-10-28,2019,10,서울,영등포구,여의동,11560540,96,126,969059135
2019-10-28,2019,10,서울,강서구,가양3동,11500605,59,49,259383353
2019-10-28,2019,10,서울,도봉구,창3동,11320513,215,51,126084463
2019-10-28,2019,10,서울,관악구,난곡동,11620775,484,48,128401327
2019-10-28,2019,10,서울,동대문구,답십리1동,11230600,91,68,358508751
2019-10-28,2019,10,서울,종로구,숭인2동,11110710,193,51,143987316
2019-10-28,2019,10,서울,광진구,화양동,11215710,198,34,132779174
2019-10-28,2019,10,서울,영등포구,당산1동,11560550,95,52,265861234
2019-10-28,2019,10,서울,강남구,개포2동,11680670,86,68,580926605
2019-10-28,2019,10,서울,도봉구,창2동,11320512,500,53,140185785
2019-10-28,2019,10,서울,관악구,미성동,11620765,439,54,163026470
2019-10-28,2019,10,서울,은평구,대조동,11380570,834,50,141876725
2019-10-28,2019,10,서울,동대문구,답십리2동,11230610,116,70,260012142
2019-10-28,2019,10,서울,강동구,천호1동,11740600,445,51,186924456
2019-10-28,2019,10,서울,영등포구,당산2동,11560560,214,67,365167641
2019-10-28,2019,10,서울,성동구,용답동,11200790,55,57,193035015
2019-10-28,2019,10,서울,은평구,구산동,11380560,779,57,138734985
2019-10-28,2019,10,서울,영등포구,영등포본동,11560515,238,56,193125873
2019-10-28,2019,10,서울,중구,회현동,11140540,25,83,315518214
2019-10-28,2019,10,서울,광진구,중곡2동,11215750,373,51,172760642
2019-10-28,2019,10,서울,광진구,광장동,11215810,195,93,506935544
2019-10-28,2019,10,서울,강동구,명일2동,11740540,64,88,480770165
2019-10-28,2019,10,서울,강남구,역삼1동,11680640,718,53,261197257
2019-10-28,2019,10,서울,강서구,방화1동,11500630,390,60,272983582
2019-10-28,2019,10,서울,금천구,시흥2동,11545680,75,78,221267164
2019-10-28,2019,10,서울,도봉구,쌍문1동,11320660,407,55,122291925
2019-10-28,2019,10,서울,광진구,구의3동,11215870,315,61,234312721
2019-10-28,2019,10,서울,중구,필동,11140570,37,64,231203921
2019-10-28,2019,10,서울,광진구,능동,11215780,164,46,183316606
2019-10-28,2019,10,서울,금천구,시흥3동,11545690,236,58,148950289
2019-10-28,2019,10,서울,도봉구,도봉2동,11320522,131,66,184488971
2019-10-28,2019,10,서울,은평구,불광1동,11380520,744,55,175840484
2019-10-28,2019,10,서울,강서구,공항동,11500620,353,48,192482001
2019-10-28,2019,10,서울,강남구,역삼2동,11680650,361,64,491823903
2019-10-28,2019,10,서울,동대문구,용신동,11230536,227,57,198281968
2019-10-28,2019,10,서울,광진구,중곡4동,11215770,601,53,165867117
2019-10-28,2019,10,서울,금천구,시흥4동,11545700,340,55,130235058
2019-10-28,2019,10,서울,송파구,오륜동,11710566,122,111,1122099046
2019-10-28,2019,10,서울,중구,명동,11140550,6,95,416972645
2019-10-28,2019,10,서울,강동구,길동,11740685,624,56,187717954
2019-10-28,2019,10,서울,은평구,불광2동,11380530,713,50,123025345
2019-10-28,2019,10,서울,강서구,우장산동,11500615,526,63,249204228
2019-10-28,2019,10,서울,강남구,도곡1동,11680655,172,94,621073997
2019-10-28,2019,10,서울,광진구,중곡3동,11215760,234,49,161502511
2019-10-28,2019,10,서울,동대문구,제기동,11230545,268,56,159006803
2019-10-28,2019,10,서울,금천구,시흥5동,11545710,199,52,143002643
2019-10-28,2019,10,서울,도봉구,창5동,11320515,246,58,177117910
2019-10-28,2019,10,서울,은평구,갈현1동,11380551,577,54,161536572
2019-10-28,2019,10,서울,강서구,발산1동,11500611,407,60,235520646
2019-10-28,2019,10,서울,송파구,마천1동,11710540,327,60,282428626
2019-10-28,2019,10,서울,노원구,중계4동,11350624,74,63,214250769
2019-10-28,2019,10,서울,서초구,내곡동,11650660,98,83,680472232
2019-10-28,2019,10,서울,중랑구,면목4동,11260540,200,57,165459128
2019-10-28,2019,10,서울,강남구,논현2동,11680531,399,74,452665399
2019-10-28,2019,10,서울,서초구,반포3동,11650580,52,100,1238448217
2019-10-28,2019,10,서울,중랑구,망우3동,11260660,216,50,140113025
2019-10-28,2019,10,서울,마포구,합정동,11440680,534,50,208779640
