기준년도,기준월,15세이상인구_합계,15세이상인구_남자,15세이상인구_여자,경제활동인구_합계,경제활동인구_남자,경제활동인구_여자,경제활동인구_취업자_합계,경제활동인구_취업자_남자,경제활동인구_취업자_여자,경제활동인구_실업자_합계,경제활동인구_실업자_남자,경제활동인구_실업자_여자,비경제활동인구_합계,비경제활동인구_남자,비경제활동인구_여자
2023,5,8470,4018,4451,5364,2867,2497,5220,2787,2433,144,80,64,3106,1151,1955
2023,6,8473,4020,4454,5373,2867,2506,5220,2793,2426,153,74,79,3101,1152,1948
2023,7,8473,4019,4454,5341,2859,2482,5178,2776,2402,163,83,79,3132,1160,1972
2023,8,8473,4019,4454,5311,2840,2470,5203,2789,2415,107,51,56,3163,1178,1984
2023,9,8473,4018,4455,5306,2851,2456,5181,2791,2390,125,59,66,3167,1168,1999
2023,10,8474,4019,4455,5356,2866,2490,5223,2798,2425,134,68,65,3118,1153,1965
2023,11,8475,4020,4456,5376,2883,2493,5230,2809,2421,146,74,72,3099,1136,1963
2023,12,8477,4021,4456,5345,2850,2494,5192,2758,2434,153,92,60,3132,1171,1962
2024,1,8478,4022,4456,5364,2867,2497,5195,2777,2418,169,90,79,3114,1155,1959
2024,2,8476,4020,4456,5376,2862,2514,5219,2778,2441,157,84,73,3100,1158,1942
2024,3,8474,4018,4456,5408,2854,2554,5224,2745,2479,184,109,75,3066,1164,1902
